P 1.5649, -0.5535, 632.9048,  255, 0, 255,  2,  Click_to_Lobby
P 2.4375, -60.2727, -17.6793,  127, 64, 0,  3,  Lobby
P -26.3717, -32.3939, 29.7413,  0, 0, 127,  2,  Broken_Key_of_Sand_(GS)
P -21.8697, -40.6467, 30.5725,  0, 127, 0,  3,  1st
P 50.3575, 0.4632, 78.8293,  0, 127, 0,  3,  2nd
P -21.6634, 42.5305, 127.5750,  0, 127, 0,  3,  3rd
P -22.1503, -39.8718, 175.1990,  0, 127, 0,  3,  4th
P 46.1279, 0.4109, 222.6647,  0, 127, 0,  3,  5th
P -20.6570, 38.9104, 270.8681,  0, 127, 0,  3,  6th
P -20.6524, -36.3888, 319.3050,  0, 127, 0,  3,  7th
P -19.4650, 38.5760, 415.7187,  0, 127, 0,  3,  9th
P -20.3399, -35.9620, 463.8811,  0, 127, 0,  3,  10th_
P 0.8361, 0.6843, -19.7608,  255, 0, 255,  2,  Click_to_3rd
P 2.4045, 0.9605, 126.3705,  255, 0, 212,  2,  Click_to_6th
P 0.8584, 0.2703, 271.2307,  255, 0, 255,  2,  Ckick_to_9th
P 2.7094, 0.3901, 415.8312,  255, 0, 255,  2,  Click_to_Top
P 46.6254, 0.4904, 367.5151,  0, 127, 0,  2,  8th
P 45.4419, 1.3379, 512.1073,  0, 127, 0,  2,  11th
