L 1299.6217, -1351.9553, 87.376, 1295.7949, -1344.6327, 87.929, 100, 50, 0
L 1270.767, -1369.2998, 88.8314, 1299.6217, -1351.9553, 87.376, 100, 50, 0
L 1253.4745, -1341.8988, 90.5322, 1270.767, -1369.2998, 88.8314, 100, 50, 0
L 1284.3822, -1325.5918, 89.73, 1253.4745, -1341.8988, 90.5322, 100, 50, 0
L 1288.2202, -1332.7, 89.1642, 1284.3822, -1325.5918, 89.73, 100, 50, 0
L 1310.8496, -1363.5378, 87.376, 1317.8733, -1369.9768, 87.376, 100, 50, 0
L 1288.195, -1385.1674, 87.376, 1310.8496, -1363.5378, 87.376, 100, 50, 0
L 1309.984, -1408.8766, 87.376, 1288.195, -1385.1674, 87.376, 100, 50, 0
L 1333.2619, -1387.4265, 87.376, 1309.984, -1408.8766, 87.376, 100, 50, 0
L 1327.7647, -1380.8903, 87.376, 1333.2619, -1387.4265, 87.376, 100, 50, 0
L 1356.4183, -1402.9052, 87.376, 1365.2582, -1400.8821, 87.376, 100, 50, 0
L 1365.3958, -1453.4947, 87.376, 1356.4183, -1402.9052, 87.376, 100, 50, 0
L 1397.668, -1447.155, 87.376, 1365.3958, -1453.4947, 87.376, 100, 50, 0
L 1387.406, -1397.1183, 87.376, 1397.668, -1447.155, 87.376, 100, 50, 0
L 1379.7681, -1398.3643, 87.376, 1387.406, -1397.1183, 87.376, 100, 50, 0
L -938.9927, -1808.5247, 203.7164, -1587.144, -1788.3335, 204.7374, 0, 125, 0
L -1587.144, -1788.3335, 204.7374, -1790.1909, -1400.9713, 203.4405, 0, 125, 0
L -1790.1909, -1400.9713, 203.4405, -1852.7176, -684.8282, 254.3487, 0, 125, 0
L -1852.7176, -684.8282, 254.3487, -1886.771, -545.551, 252.9413, 0, 125, 0
L -1886.771, -545.551, 252.9413, -1968.5927, -198.2587, 121.4715, 0, 125, 0
L -1968.5927, -198.2587, 121.4715, -1927.9611, -171.978, 109.9333, 64, 64, 64
L -1927.9611, -171.978, 109.9333, -1921.673, -144.798, 102.701, 64, 64, 64
L -1921.673, -144.798, 102.701, -1929.7034, -116.6144, 94.4972, 64, 64, 64
L -1929.7034, -116.6144, 94.4972, -1953.2687, -95.5777, 91.2163, 64, 64, 64
L -1953.2687, -95.5777, 91.2163, -1976.625, -89.8372, 90.3183, 64, 64, 64
L -1976.625, -89.8372, 90.3183, -1976.625, -23.2197, 85.501, 64, 64, 64
L -1976.625, -23.2197, 85.501, -2049.3627, -23.6183, 86.626, 64, 64, 64
L -2049.3627, -23.6183, 86.626, -2049.3733, -97.125, 86.626, 64, 64, 64
